canton_code,canton_name,noga_division,noga_label,year,etablissements,emplois,emplois_eq_plein_temps
3,"Luzern",46,"46 Commerce de gros, à l'exception des automobiles et des motocycles",2023,1044,13401,11158
3,"Luzern",47,"47 Commerce de détail, à l'exception des automobiles et des motocycles",2023,2303,16100,11777
3,"Luzern",49,"49 Transports terrestres et transport par conduites",2023,470,5741,4783
3,"Luzern",50,"50 Transports par eau",2023,4,147,135
3,"Luzern",51,"51 Transports aériens",2023,,11,6
3,"Luzern",52,"52 Entreposage et services auxiliaires des transports",2023,81,3338,2926
3,"Luzern",53,"53 Activités de poste et de courrier",2023,101,2050,1256
3,"Luzern",55,"55 Hébergement",2023,219,4484,3507
3,"Luzern",56,"56 Restauration",2023,962,8172,5538
3,"Luzern",58,"58 Édition",2023,55,551,382
3,"Luzern",59,"59 Production de films cinématographiques, de vidéo et de programmes de télévision, enregistrement sonore et édition musicale",2023,165,368,208
3,"Luzern",60,"60 Programmation et diffusion",2023,7,98,58
3,"Luzern",61,"61 Télécommunications",2023,31,682,647
3,"Luzern",62,"62 Programmation, conseil et autres activités informatiques",2023,784,4928,4261
3,"Luzern",63,"63 Services d'information",2023,52,268,218
3,"Luzern",64,"64 Activités des services financiers, hors assurance et caisses de retraite",2023,353,3195,2638
3,"Luzern",65,"65 Assurance",2023,86,5027,4237
3,"Luzern",66,"66 Activités auxiliaires de services financiers et d'assurance",2023,325,2154,1752
3,"Luzern",68,"68 Activités immobilières",2023,1239,3984,2108
3,"Luzern",69,"69 Activités juridiques et comptables",2023,888,3334,2481
3,"Luzern",70,"70 Activités des sièges sociaux, conseil de gestion",2023,1176,7655,6252
3,"Luzern",71,"71 Activités d'architecture et d'ingénierie, activités de contrôle et analyses techniques",2023,1186,6667,5465
3,"Luzern",72,"72 Recherche-développement scientifique",2023,65,1113,905
3,"Luzern",73,"73 Publicité et études de marché",2023,269,1703,1006
3,"Luzern",74,"74 Autres activités spécialisées, scientifiques et techniques",2023,1040,1846,1202
3,"Luzern",75,"75 Activités vétérinaires",2023,55,420,301
3,"Luzern",77,"77 Activités de location et location-bail",2023,115,618,503
3,"Luzern",78,"78 Activités liées à l'emploi",2023,95,3935,3061
3,"Luzern",79,"79 Activités des agences de voyage, voyagistes, services de réservation et activités connexes",2023,113,960,663
3,"Luzern",80,"80 Enquêtes et sécurité",2023,29,837,493
3,"Luzern",81,"81 Services relatifs aux bâtiments et aménagement paysager",2023,762,5610,3589
3,"Luzern",82,"82 Activités administratives et autres activités de soutien aux entreprises",2023,143,689,501
3,"Luzern",84,"84 Administration publique et défense, sécurité sociale obligatoire",2023,327,9032,6600
3,"Luzern",85,"85 Enseignement",2023,1653,21118,11984
3,"Luzern",86,"86 Activités pour la santé humaine",2023,2945,22022,15649
3,"Luzern",87,"87 Hébergement médico-social et social",2023,158,10237,7198
3,"Luzern",88,"88 Action sociale sans hébergement",2023,575,6776,3782
3,"Luzern",90,"90 Activités créatives, artistiques et de spectacle",2023,843,1941,896
3,"Luzern",91,"91 Bibliothèques, archives, musées et autres activités culturelles",2023,44,741,411
