name,country,date_added,category,source_url,source_list,warning_type,additional_info
Bright Water Investments AG in Liquidation,,2025-07-18,Entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/bright-water-investments-ag-in-liquidation/,finma-warnings,unauthorized_provider,bright-water-investments-ag-in-liquidation
TheBoostMastery / theboostmastery.com,,2025-07-16,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/theboostmastery---theboostmastery_com/,finma-warnings,unauthorized_provider,theboostmastery---theboostmastery_com
UniversalAIGroup / universalaigroup.com,,2025-07-16,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/universalaigroup---universalaigroup_com/,finma-warnings,unauthorized_provider,universalaigroup---universalaigroup_com
Roxtree Advisory / roxtreeadvisory.com,,2025-07-16,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/roxtree-advisory---roxtreeadvisory_com/,finma-warnings,unauthorized_provider,roxtree-advisory---roxtreeadvisory_com
WittFinance,,2025-07-16,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/wittfinance/,finma-warnings,unauthorized_provider,wittfinance
foxtail-holdings.com,,2025-07-10,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/foxtail-holdings_com/,finma-warnings,unauthorized_provider,foxtail-holdings_com
www.nobu-invest.com,,2025-07-04,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/www-nobu-invest-com/,finma-warnings,unauthorized_provider,www-nobu-invest-com
Algorfinance / algorfinance.net,,2025-07-02,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/algorfinance---algorfinance-net/,finma-warnings,unauthorized_provider,algorfinance---algorfinance-net
caia-capital.com,,2025-07-01,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/caia-capital_com/,finma-warnings,unauthorized_provider,caia-capital_com
schanzengraben-investmentag.com,,2025-07-01,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/schanzengraben-investmentag_com/,finma-warnings,unauthorized_provider,schanzengraben-investmentag_com
Exchantra / exchantra.com,,2025-07-01,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/exchantra---exchantra_com/,finma-warnings,unauthorized_provider,exchantra---exchantra_com
